Date;Team_Home;Team_Away;League;Class_Home;Class_Away;Home_Prediction;Draw_Prediction;Away_Prediction;Odd_Home;Odd_Draw;Odd_Away;Result;_Double result;Goals
2023-01-11;Porto;Arouca;Portugal T;2;7;75;16;9;1,14;7,70;21,00;Home;Home_Draw;More_Two
2023-01-11;Nacional;Rabo de Peixe;Portugal T;2;9;59;23;18;1,45;4,60;7,00;Home;Home_Draw;Zero
2023-01-11;Paris Saint Germain;Angers;França 1;1;20;88;8;4;1,18;10,00;20,00;Home;Home_Draw;More_Two
2023-01-12;Setúbal;Casa Pia;Portugal T;11;3;25;25;50;5,80;3,72;1,70;Away;Draw_Away;More_Two
2023-01-12;Groninguen;Spakenburg;Países Baixos T;8;8;66;17;17;1,40;5,00;8,00;Away;Away_Home;One
2023-01-12;Fulham;Chelsea;Inglaterra 1;7;10;31;25;44;3,45;3,74;2,28;Home;Away_Home;Two
2023-01-12;Ghazl El Mehalla;ENPPI;Egipto 1;7;15;36;29;35;2,88;2,80;2,96;Home;Home_Draw;More_Two
2023-01-12;Blaw Geel ‘38;Utrecht;Países Baixos T;7;4;3;7;90;18,00;9,10;1,12;Away;Draw_Away;More_Two
2023-01-12;Al Tai;Al Taawon;Arábia Saudita 1;7;5;37;26;37;3,10;3,30;2,25;Away;Draw_Away;Two
2023-01-12;Fiorentina;Sampdoria;Itália T;5;9;63;20;17;1,50;4,20;7,00;Home;Home_Draw;One
2023-01-12;Real Bétis;Barcelona ;Espanha ST;5;7;20;22;58;6,00;4,64;1,59;Draw;Draw_Away;More_Two
2023-01-12;Urk;Katwijk;Países Baixos T;3;6;19;18;63;23,00;10,00;1,12;Away;Draw_Away;More_Two
2023-01-12;Feyenoord;Zwolle;Países Baixos T;2;4;57;20;23;1,33;6,00;8,80;Home;Home_Draw;More_Two
2023-01-12;Al Ahly;Al Masry;Egipto 1;1;8;59;25;17;1,52;4,20;7,60;Draw;Home_Draw;One
2023-01-13;Ismaily;Al Mokawloon;Egipto 1;18;6;36;31;33;2,75;2,75;3,11;Away;Away_Home;Two
2023-01-13;Denizlispor;Eyupspor;Turquia 2;17;1;34;25;41;7,20;4,00;1,55;Away;Draw_Away;More_Two
2023-01-13;Enosis;Paphos;Chipre 1;11;3;20;25;55;6,00;4,00;1,55;Away;Draw_Away;Zero
2023-01-13;Carrick Rangers;Cliftonville;Irlanda do Norte 1;9;1;22;24;55;5,00;3,94;1,70;Draw;Draw_Away;More_Two
2023-01-13;Club Africain;Ben Guerdane;Tunisia 1;5;2;59;26;15;1,46;4,73;9,00;Away;Away_Home;More_Two
2023-01-13;Martigues;Bastia-Borgo;França N;2;18;68;20;13;1,41;4,70;7,60;Home;Home_Draw;Two
